key,value,unit,source_name,source_url,source_year,confidence,notes
grid_electricity_kgco2e_per_kwh,0.38,kgCO2e/kWh,EPA eGRID and Federal LCA Commons baseline,https://www.epa.gov/egrid,2025,high,US average location-based electricity factor for cradle-to-gate baseline
renewable_electricity_kgco2e_per_kwh,0.05,kgCO2e/kWh,Federal LCA Commons US electricity baseline,https://www.lcacommons.gov/lca-collaboration/Federal_LCA_Commons/US_electricity_baseline/datasets/Sources,2025,medium,Low-carbon electricity sensitivity case
water_supply_kgco2e_per_kg,0.00035,kgCO2e/kg,Federal LCA Commons utility proxy,https://www.lcacommons.gov/lca-collaboration/Federal_LCA_Commons/US_electricity_baseline/datasets/Sources,2025,low,Screening factor for process water supply
wastewater_treatment_kgco2e_per_kg,0.00070,kgCO2e/kg,Federal LCA Commons utility proxy,https://www.lcacommons.gov/lca-collaboration/Federal_LCA_Commons/US_electricity_baseline/datasets/Sources,2025,low,Screening factor for wastewater handling
steam_kgco2e_per_kg,0.10,kgCO2e/kg,Open TEA LCA proxy,https://www.netl.doe.gov/projects/files/CradletoGateLifeCycleAnalysisModelforAlternativeSourcesofCarbonDioxideReport_093013.pdf,2025,low,Natural-gas-fired low-pressure steam approximation
naoh_kgco2e_per_kg,1.10,kgCO2e/kg,ecoinvent style alkali proxy,https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-models,2025,low,Replace with project-specific LCI if available
h2so4_kgco2e_per_kg,0.12,kgCO2e/kg,ecoinvent style sulfuric acid proxy,https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-models,2025,low,Screening cradle-to-gate acid factor
h3po4_kgco2e_per_kg,1.00,kgCO2e/kg,ecoinvent style phosphoric acid proxy,https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-models,2025,low,Screening cradle-to-gate acid factor
mgcl2_kgco2e_per_kg,0.45,kgCO2e/kg,ecoinvent style salt proxy,https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-models,2025,low,Screening factor for magnesium chloride supply
co2_supply_kgco2e_per_kg,0.12,kgCO2e/kg,NETL CO2 supply chain — fossil point-source capture,https://www.netl.doe.gov/projects/files/CradletoGateLifeCycleAnalysisModelforAlternativeSourcesofCarbonDioxideReport_093013.pdf,2025,medium,Post-combustion CCS from fossil point source; includes compression and transport
biogenic_co2_kgco2e_per_kg,0.033,kgCO2e/kg,Biogenic waste CO2 from corn ethanol fermentation — compression and transport only,https://doi.org/10.1021/acs.iecr.2c01938,2025,high,CO2 from corn ethanol off-gas is biogenic (part of short-term C cycle); burden is only compression/liquefaction/pipeline at ~0.03 kgCO2e/kg per NETL and IEA data
dac_co2_kgco2e_per_kg,0.48,kgCO2e/kg,Direct air capture CO2 energy penalty — Fasihi 2019 LCOE mid-case,https://doi.org/10.1016/j.joule.2019.05.011,2025,low,High energy penalty for DAC; sensitivity case only
membrane_kgco2e_per_m2,8.0,kgCO2e/m2,Generic polymer membrane proxy,https://www.epa.gov/land-research/us-environmentally-extended-input-output-useeio-models,2025,low,Used for membrane replacement burdens in screening LCA
scp_carbon_fraction,0.47,kg/kg,Carbon mass fraction of dry SCP biomass — typical for bacterial SCP,https://doi.org/10.1016/j.biotechadv.2020.107597,2025,high,Literature range 0.44-0.52 for single-cell protein; 0.47 is widely cited for bacterial biomass
scp_displacement_kgco2e_per_kg,0.50,kgCO2e/kg,GWP of soy meal protein displaced per kg SCP — no land-use-change conservative estimate,https://doi.org/10.1016/j.jclepro.2019.04.151,2025,medium,Soy meal cradle-to-gate without LUC approx 0.5 kgCO2e/kg; with LUC up to 3.3 kgCO2e/kg; conservative value used here
